model,feature_policy,threshold_policy,attribute,max_fpr_gap,max_tpr_gap,fpr_ratio_worst_to_best,tpr_ratio_worst_to_best,equal_opportunity_difference,equalized_odds_difference,disparate_impact_ratio_alert_positive,disparate_impact_ratio_approval_positive,worst_fpr_group,lowest_tpr_group
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_global_5pct_fpr,housing_status,0.18306623639446482,0.71412680756396,53.49456950641111,0.0,0.71412680756396,0.71412680756396,0.0,0.7920446251694296,BA,BG
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_global_5pct_fpr,income_group,0.03972907952093753,0.16659711838277053,3.4307081010780167,0.7107654226577986,0.16659711838277053,0.16659711838277053,0.29320139777877735,0.9528565619716769,high_0.7_0.9,low_0.1_0.3
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_business_fdr30,customer_age_group,0.00035971223021582735,0.030864197530864196,11.49568345323741,0.0,0.030864197530864196,0.030864197530864196,0.0,0.9979605710401088,51+,10-20
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_business_fdr30,employment_status,4.071274444610311e-05,0.013389121338912133,1.0,0.0,0.013389121338912133,0.013389121338912133,0.0,0.9995584988962473,CA,CB
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_business_fdr30,housing_status,0.00010939123776185527,0.017797552836484983,4.073292129300443,0.0,0.017797552836484983,0.017797552836484983,0.0,0.9990616202690021,BA,BB
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_business_fdr30,income_group,4.7426331099026176e-05,0.013816925734024179,1.0,0.0,0.013816925734024179,0.013816925734024179,0.0,0.9997050330673456,high_0.7_0.9,mid_0.4_0.6
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.06847605669248658,0.4090005547337278,18.897082773341765,0.22441376287530132,0.4090005547337278,0.4090005547337278,0.04817473087387418,0.908014742534283,51+,10-20
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.048143053645116916,0.4642857142857143,107.98486932599725,0.0,0.4642857142857143,0.4642857142857143,0.0,0.9364238410596026,CC,CF
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.08368429688781928,0.4961067853170189,73.36124112172901,0.0,0.4961067853170189,0.4961067853170189,0.0,0.8969867584193515,BA,BG
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.01886249962606874,0.13443103708082665,4.391278880139517,0.6548311730829329,0.13443103708082665,0.13443103708082665,0.23760109223047696,0.9762002781951186,high_0.7_0.9,low_0.1_0.3
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.12675397522547047,0.444896449704142,12.506551705200724,0.35287789133942976,0.444896449704142,0.444896449704142,0.07533528463551513,0.842747580783089,51+,10-20
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_global_5pct_fpr,employment_status,0.13639374056618306,0.6309523809523809,55.66358024691358,0.0,0.6309523809523809,0.6309523809523809,0.015754560530679935,0.8442052762829768,CG,CF
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_global_5pct_fpr,housing_status,0.1733304162336597,0.6896551724137931,54.545748677838596,0.0,0.6896551724137931,0.6896551724137931,0.0,0.8024710666249609,BA,BG
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,with_housing_status,valid_global_5pct_fpr,income_group,0.03919870183901121,0.15929454857368064,3.7234460776012672,0.7131211706869017,0.15929454857368064,0.15929454857368064,0.2738674523219285,0.9537432311309574,high_0.7_0.9,low_0.1_0.3
balance_gate | XGBoost | class_weight,with_housing_status,valid_business_fdr30,customer_age_group,0.00010560777273207308,0.012345679012345678,1.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.9993201903467029,41-50,10-20
balance_gate | XGBoost | class_weight,with_housing_status,valid_business_fdr30,employment_status,1.3570914815367704e-05,0.0066945606694560665,1.0,0.0,0.0066945606694560665,0.0066945606694560665,0.0,0.9998798109024866,CA,CB
balance_gate | XGBoost | class_weight,with_housing_status,valid_business_fdr30,housing_status,5.4695618880927636e-05,0.008898776418242492,1.0,0.0,0.008898776418242492,0.008898776418242492,0.0,0.9995308101345011,BA,BB
balance_gate | XGBoost | class_weight,with_housing_status,valid_business_fdr30,income_group,1.5808777033008725e-05,0.0069084628670120895,1.0,0.0,0.0069084628670120895,0.0069084628670120895,0.0,0.9998602788213742,high_0.7_0.9,low_0.1_0.3
balance_gate | XGBoost | class_weight,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.07193300858808413,0.43103952078311053,15.257122302158272,0.21541120936107971,0.43103952078311053,0.43103952078311053,0.056750299920402425,0.9022824795384089,51+,10-20
balance_gate | XGBoost | class_weight,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.048601558917927556,0.47619047619047616,109.0132966529115,0.0,0.47619047619047616,0.47619047619047616,0.0,0.9355408388520972,CC,CF
balance_gate | XGBoost | class_weight,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.0944046381884811,0.5183537263626251,128.73645827635875,0.0,0.5183537263626251,0.5183537263626251,0.0,0.8857262016473777,BA,BG
balance_gate | XGBoost | class_weight,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.021240079221101434,0.1444924991792632,4.59782366707186,0.6393915645483043,0.1444924991792632,0.1444924991792632,0.23318323365368737,0.9738296505273912,high_0.7_0.9,mid_0.4_0.6
balance_gate | XGBoost | class_weight,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.1277957250748342,0.46676163342830007,11.855334018499487,0.33083730428863173,0.46676163342830007,0.46676163342830007,0.07820521441982231,0.8409066642688952,51+,10-20
balance_gate | XGBoost | class_weight,with_housing_status,valid_global_5pct_fpr,employment_status,0.09167969917376256,0.6071428571428571,34.06886749197616,0.0,0.6071428571428571,0.6071428571428571,0.024359396274141614,0.888991351081482,CC,CF
balance_gate | XGBoost | class_weight,with_housing_status,valid_global_5pct_fpr,housing_status,0.17797954383853853,1.0,70.46267553323818,0.0,1.0,1.0,0.0,0.7976227713481389,BA,BG
balance_gate | XGBoost | class_weight,with_housing_status,valid_global_5pct_fpr,income_group,0.038126685343977756,0.14846240335686384,3.472925768386608,0.7338708001745382,0.14846240335686384,0.14846240335686384,0.29166110035414416,0.95482553300169,high_0.7_0.9,low_0.1_0.3
baseline | CatBoost,with_housing_status,valid_business_fdr30,customer_age_group,0.0,0.018518518518518517,,0.0,0.018518518518518517,0.018518518518518517,0.0,0.9989802855200544,10-20,10-20
baseline | CatBoost,with_housing_status,valid_business_fdr30,employment_status,0.0,0.00502092050209205,,0.0,0.00502092050209205,0.00502092050209205,0.0,0.999919873934991,CA,CB
baseline | CatBoost,with_housing_status,valid_business_fdr30,housing_status,0.0,0.0055617352614015575,,0.0,0.0055617352614015575,0.0055617352614015575,0.0,0.9997393389636117,BA,BB
baseline | CatBoost,with_housing_status,valid_business_fdr30,income_group,0.0,0.0051813471502590676,,0.0,0.0051813471502590676,0.0051813471502590676,0.0,0.9999068525475828,high_0.7_0.9,low_0.1_0.3
baseline | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.08127621011162817,0.4564979180363795,23.477597456918186,0.2296597633136095,0.4564979180363795,0.4564979180363795,0.040324702140084566,0.8912071051912209,51+,10-20
baseline | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.03627261174047416,0.44047619047619047,21.339867033470885,0.0,0.44047619047619047,0.44047619047619047,0.03352575488454707,0.9487049562819636,CC,CF
baseline | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.09391237761855276,0.5450500556173526,42.68839298194437,0.0,0.5450500556173526,0.5450500556173526,0.0,0.8849442185382129,BA,BG
baseline | CatBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.022350229300078676,0.17301874326251,4.5237715364185584,0.6139581797726655,0.17301874326251,0.17301874326251,0.22859179631685345,0.9718150658711359,high_0.7_0.9,low_0.1_0.3
baseline | CatBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.1373865388012496,0.5277229892614508,15.652921250443592,0.2875739644970414,0.5277229892614508,0.5277229892614508,0.06024882693254087,0.8294994983914844,51+,10-20
baseline | CatBoost,with_housing_status,valid_global_5pct_fpr,employment_status,0.07031606610243739,0.6071428571428571,13.132225866751313,0.0,0.6071428571428571,0.6071428571428571,0.06058417589471994,0.909473126059796,CC,CG
baseline | CatBoost,with_housing_status,valid_global_5pct_fpr,housing_status,0.16775146310780506,1.0,29.83787980756654,0.0,1.0,1.0,0.0,0.8083098738400584,BA,BG
baseline | CatBoost,with_housing_status,valid_global_5pct_fpr,income_group,0.0407408906149128,0.16879368501582226,4.014531747448566,0.7011267779077642,0.16879368501582226,0.16879368501582226,0.25657024968268205,0.9520615069841486,high_0.7_0.9,low_0.1_0.3
baseline | XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,0.00010560777273207308,0.012345679012345678,1.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.9993201903467029,41-50,10-20
baseline | XGBoost,with_housing_status,valid_business_fdr30,employment_status,1.3570914815367704e-05,0.0066945606694560665,1.0,0.0,0.0066945606694560665,0.0066945606694560665,0.0,0.9998798109024866,CA,CB
baseline | XGBoost,with_housing_status,valid_business_fdr30,housing_status,5.4695618880927636e-05,0.008898776418242492,1.0,0.0,0.008898776418242492,0.008898776418242492,0.0,0.9995308101345011,BA,BB
baseline | XGBoost,with_housing_status,valid_business_fdr30,income_group,1.5808777033008725e-05,0.0069084628670120895,1.0,0.0,0.0069084628670120895,0.0069084628670120895,0.0,0.9998602788213742,high_0.7_0.9,low_0.1_0.3
baseline | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.07193300858808413,0.43103952078311053,15.257122302158272,0.21541120936107971,0.43103952078311053,0.43103952078311053,0.056750299920402425,0.9022824795384089,51+,10-20
baseline | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.048601558917927556,0.47619047619047616,109.0132966529115,0.0,0.47619047619047616,0.47619047619047616,0.0,0.9355408388520972,CC,CF
baseline | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.0944046381884811,0.5183537263626251,128.73645827635875,0.0,0.5183537263626251,0.5183537263626251,0.0,0.8857262016473777,BA,BG
baseline | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.021240079221101434,0.1444924991792632,4.59782366707186,0.6393915645483043,0.1444924991792632,0.1444924991792632,0.23318323365368737,0.9738296505273912,high_0.7_0.9,mid_0.4_0.6
baseline | XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.1277957250748342,0.46676163342830007,11.855334018499487,0.33083730428863173,0.46676163342830007,0.46676163342830007,0.07820521441982231,0.8409066642688952,51+,10-20
baseline | XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,0.09167969917376256,0.6071428571428571,34.06886749197616,0.0,0.6071428571428571,0.6071428571428571,0.024359396274141614,0.888991351081482,CC,CF
baseline | XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,0.17797954383853853,1.0,70.46267553323818,0.0,1.0,1.0,0.0,0.7976227713481389,BA,BG
baseline | XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,0.038126685343977756,0.14846240335686384,3.472925768386608,0.7338708001745382,0.14846240335686384,0.14846240335686384,0.29166110035414416,0.95482553300169,high_0.7_0.9,low_0.1_0.3
hyperparameter_tuned | XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,3.129106952875649e-05,0.012345679012345678,1.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.9993201903467029,21-30,10-20
hyperparameter_tuned | XGBoost,with_housing_status,valid_business_fdr30,employment_status,1.3570914815367704e-05,0.011904761904761904,1.0,0.0,0.011904761904761904,0.011904761904761904,0.0,0.9995584988962473,CA,CB
hyperparameter_tuned | XGBoost,with_housing_status,valid_business_fdr30,housing_status,5.4695618880927636e-05,0.00778642936596218,1.0,0.0,0.00778642936596218,0.00778642936596218,0.0,0.9995829423417788,BA,BB
hyperparameter_tuned | XGBoost,with_housing_status,valid_business_fdr30,income_group,1.5808777033008725e-05,0.0069084628670120895,1.0,0.0,0.0069084628670120895,0.0069084628670120895,0.0,0.9998602788213742,high_0.7_0.9,low_0.1_0.3
hyperparameter_tuned | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.09096502817927292,0.4943019943019943,14.958143420747273,0.23736263736263738,0.4943019943019943,0.4943019943019943,0.05912531722140255,0.8788366835949909,51+,10-20
hyperparameter_tuned | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.06832995944589342,0.5833333333333334,154.26409903713892,0.0,0.5833333333333334,0.5833333333333334,0.005054133902193026,0.9125464963817895,CC,CF
hyperparameter_tuned | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.1068752392933326,0.5661846496106785,72.87110065817062,0.0,0.5661846496106785,0.5661846496106785,0.0,0.8715983734751329,BA,BG
hyperparameter_tuned | XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.022328916452353454,0.09626885910446908,3.3836118312887313,0.7868463884455541,0.09626885910446908,0.09626885910446908,0.30361513653043765,0.9723400027433878,high_0.7_0.9,mid_0.4_0.6
hyperparameter_tuned | XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.14755182735748837,0.48655855066111475,11.5703995839473,0.3485745024206563,0.48655855066111475,0.48655855066111475,0.08102065375102266,0.8191121865272897,51+,10-20
hyperparameter_tuned | XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,0.11193865555133777,0.6428571428571429,51.21568088033012,0.0,0.6428571428571429,0.6428571428571429,0.016596908358686668,0.868152680395052,CC,CF
hyperparameter_tuned | XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,0.1771044139364437,1.0,35.058104390999574,0.0,1.0,1.0,0.0,0.7983526222500261,BA,BG
hyperparameter_tuned | XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,0.03622165366570614,0.12373798843180206,2.8421811750181467,0.7842039298132126,0.12373798843180206,0.12373798843180206,0.34923468094417065,0.9565898436804148,high_0.7_0.9,low_0.1_0.3
