housing_status,n_with_housing,fraud_count_with_housing,legitimate_count_with_housing,fraud_rate_with_housing,alert_count_with_housing,alert_rate_with_housing,precision_with_housing,recall_tpr_with_housing,fpr_with_housing,fnr_with_housing,tn_with_housing,fp_with_housing,fn_with_housing,tp_with_housing,small_group_warning_with_housing,model_with_housing,model_family,feature_policy_with_housing,split,threshold_policy,threshold_with_housing,n_without_housing,fraud_count_without_housing,legitimate_count_without_housing,fraud_rate_without_housing,alert_count_without_housing,alert_rate_without_housing,precision_without_housing,recall_tpr_without_housing,fpr_without_housing,fnr_without_housing,tn_without_housing,fp_without_housing,fn_without_housing,tp_without_housing,small_group_warning_without_housing,model_without_housing,feature_policy_without_housing,threshold_without_housing,alert_rate_delta_with_minus_without,precision_delta_with_minus_without,recall_tpr_delta_with_minus_without,fpr_delta_with_minus_without,fnr_delta_with_minus_without
BA,20718,887,19831,0.04281301283907713,443,0.021382372815908872,0.36794582392776526,0.18376550169109357,0.014119308153900459,0.8162344983089064,19551,280,724,163,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,20718,887,19831,0.04281301283907713,221,0.010667052804324742,0.46153846153846156,0.11499436302142052,0.006000705965407695,0.8850056369785795,19712,119,785,102,False,XGBoost focal | without_housing_status,without_housing_status,0.5,0.01071532001158413,-0.0935926376106963,0.06877113866967305,0.008118602188492764,-0.0687711386696731
BE,17599,84,17515,0.0047729984658219215,0,0.0,,0.0,0.0,1.0,17515,0,84,0,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,17599,84,17515,0.0047729984658219215,4,0.0002272856412296153,0.25,0.011904761904761904,0.00017128175849272052,0.9880952380952381,17512,3,83,1,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.0002272856412296153,,-0.011904761904761904,-0.00017128175849272052,0.011904761904761862
BD,3727,28,3699,0.007512744834987926,0,0.0,,0.0,0.0,1.0,3699,0,28,0,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,3727,28,3699,0.007512744834987926,2,0.0005366246310705661,0.0,0.0,0.0005406866720735334,1.0,3697,2,28,0,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.0005366246310705661,,0.0,-0.0005406866720735334,0.0
BF,176,0,176,0.0,0,0.0,,,0.0,,176,0,0,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,176,0,176,0.0,0,0.0,,,0.0,,176,0,0,0,True,XGBoost focal | without_housing_status,without_housing_status,0.5,0.0,,,0.0,
BG,24,0,24,0.0,0,0.0,,,0.0,,24,0,0,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,24,0,24,0.0,0,0.0,,,0.0,,24,0,0,0,True,XGBoost focal | without_housing_status,without_housing_status,0.5,0.0,,,0.0,
BB,33162,222,32940,0.006694409263614981,394,0.011881068693082444,0.11421319796954314,0.20270270270270271,0.010595021250758955,0.7972972972972973,32591,349,177,45,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,33162,222,32940,0.006694409263614981,1347,0.04061878053193414,0.06384558277654045,0.38738738738738737,0.03828172434729812,0.6126126126126126,31679,1261,136,86,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.0287377118388517,0.05036761519300269,-0.18468468468468466,-0.027686703096539162,0.18468468468468469
BC,32762,229,32533,0.006989805262194005,437,0.013338624015627862,0.10068649885583524,0.19213973799126638,0.012080041803707005,0.8078602620087336,32140,393,185,44,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,32762,229,32533,0.006989805262194005,1028,0.03137781576216348,0.07782101167315175,0.34934497816593885,0.029139642824209264,0.6506550218340611,31585,948,149,80,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.01803919174653562,0.022865487182683483,-0.15720524017467247,-0.01705960102050226,0.15720524017467252
BA,20718,887,19831,0.04281301283907713,5067,0.24456993918331885,0.12749161239392146,0.7282976324689966,0.2229337905299783,0.2717023675310034,15410,4421,241,646,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,20718,887,19831,0.04281301283907713,3095,0.14938700646780578,0.16445880452342487,0.5738444193912063,0.13040189602138066,0.42615558060879366,17245,2586,378,509,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,0.09518293271551306,-0.03696719212950342,0.15445321307779025,0.09253189450859764,-0.15445321307779025
BE,17599,84,17515,0.0047729984658219215,68,0.0038638559009034606,0.08823529411764706,0.07142857142857142,0.0035398230088495575,0.9285714285714286,17453,62,78,6,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,17599,84,17515,0.0047729984658219215,381,0.021648957327120858,0.05774278215223097,0.2619047619047619,0.02049671709962889,0.7380952380952381,17156,359,62,22,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.0177851014262174,0.030492511965416094,-0.1904761904761905,-0.016956894090779332,0.19047619047619047
BD,3727,28,3699,0.007512744834987926,113,0.030319291655486986,0.07079646017699115,0.2857142857142857,0.028386050283860504,0.7142857142857143,3594,105,20,8,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,3727,28,3699,0.007512744834987926,172,0.046149718272068686,0.06395348837209303,0.39285714285714285,0.04352527710191944,0.6071428571428571,3538,161,17,11,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.0158304266165817,0.006842971804898124,-0.10714285714285715,-0.015139226818058935,0.1071428571428572
