model,split,topk_pct,topk_label,k,precision_at_k,fdr_at_k,recall_at_k,lift_at_k,fp_per_tp_at_k,fraud_prevalence,captured_frauds
baseline | CatBoost,validation,0.1,top_10.0pct,10817,0.08837940279190164,0.9116205972080984,0.6593103448275862,6.592981545651321,10.314853556485355,0.013405073589231566,956
baseline | CatBoost,test,0.005,top_0.5pct,485,0.40824742268041236,0.5917525773195876,0.13865546218487396,27.686208091484016,1.4494949494949494,0.014745515938167962,198
baseline | CatBoost,test,0.01,top_1.0pct,969,0.31991744066047473,0.6800825593395252,0.21708683473389356,21.695913659581482,2.1258064516129034,0.014745515938167962,310
baseline | CatBoost,test,0.02,top_2.0pct,1937,0.2555498193082086,0.7444501806917914,0.34663865546218486,17.330680077916558,2.9131313131313132,0.014745515938167962,495
baseline | CatBoost,test,0.05,top_5.0pct,4843,0.15981829444559156,0.8401817055544084,0.542016806722689,10.838433535710381,5.257105943152455,0.014745515938167962,774
baseline | CatBoost,test,0.1,top_10.0pct,9685,0.10025813113061435,0.8997418688693857,0.6799719887955182,6.799228426528071,8.97425334706488,0.014745515938167962,971
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,validation,0.005,top_0.5pct,541,0.34750462107208874,0.6524953789279113,0.1296551724137931,25.9233654152591,1.877659574468085,0.013405073589231566,188
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,validation,0.01,top_1.0pct,1082,0.27264325323475047,0.7273567467652495,0.20344827586206896,20.33881063165275,2.6677966101694914,0.013405073589231566,295
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,validation,0.02,top_2.0pct,2164,0.2024029574861368,0.7975970425138632,0.3020689655172414,15.098981451972719,3.9406392694063928,0.013405073589231566,438
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,validation,0.05,top_5.0pct,5409,0.13292660380846738,0.8670733961915327,0.49586206896551727,9.916141297071931,6.522948539638387,0.013405073589231566,719
