model,model_family,feature_policy,threshold_policy,attribute,group,group_size,fraud_prevalence,alert_rate,precision,fdr,recall_tpr,fnr,fpr,tnr,tp,fp,fn,tn
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CC,2265,0.03708609271523179,0.12671081677704193,0.18466898954703834,0.8153310104529616,0.6309523809523809,0.36904761904761907,0.10729023383768914,0.8927097661623109,53,234,31,1947
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CD,2513,0.00477516912057302,0.005173099880620772,0.23076923076923078,0.7692307692307692,0.25,0.75,0.003998400639744102,0.9960015993602559,3,10,9,2491
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CE,2252,0.003996447602131439,0.0026642984014209592,0.0,1.0,0.0,1.0,0.0026749888542131075,0.9973250111457869,0,6,9,2237
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CF,3618,0.0030403537866224434,0.0024875621890547263,0.0,1.0,0.0,1.0,0.00249514832270585,0.9975048516772942,0,9,11,3598
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CG,38,0.05263157894736842,0.15789473684210525,0.16666666666666666,0.8333333333333334,0.5,0.5,0.1388888888888889,0.8611111111111112,1,5,1,31
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,10-20,23953,0.007055483655492005,0.012649772471089216,0.1353135313531353,0.8646864686468647,0.24260355029585798,0.757396449704142,0.01101580894719139,0.9889841910528087,41,262,128,23522
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,21-30,32363,0.012514291011340111,0.036770385934554894,0.14705882352941177,0.8529411764705882,0.43209876543209874,0.5679012345679012,0.03176043557168784,0.9682395644283122,175,1015,230,30943
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,31-40,27860,0.01564967695620962,0.05875807609475951,0.15394013439218082,0.8460598656078192,0.5779816513761468,0.42201834862385323,0.05050320886814469,0.9494967911318553,252,1385,184,26039
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,41-50,9725,0.026323907455012854,0.10889460154241645,0.16619452313503305,0.833805476864967,0.6875,0.3125,0.09325166332242053,0.9067483366775795,176,883,80,8586
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,51+,2942,0.055064581917063225,0.167912984364378,0.22469635627530365,0.7753036437246963,0.6851851851851852,0.3148148148148148,0.13776978417266186,0.8622302158273382,111,383,51,2397
