model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9858097601700312,4737,4737,739,3998,689,91417,0.1560059109140806,0.8439940890859193,0.5175070028011205,0.0419011685793638,0.4824929971988795,0.958098831420636,0.958098831420636,0.0489142219881664,0.0147455159381679,10.579888256759322,10.579888256759322,5.41001353179973,0.1942184513309399,0.8891076773422778,13.171356780281666,96843
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,62099,62099,1402,60697,48,46021,0.0225768530894217,0.9774231469105784,0.966896551724138,0.5687606589328885,0.033103448275862,0.4312393410671114,0.4312393410671114,0.5740976998742696,0.0134050735892315,1.6842020999838412,1.6842020999838412,43.29315263908702,0.1646695589423376,0.8873072506270151,12.28412196667226,108168
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9679363333021952,6061,6061,747,5314,703,101404,0.1232469889457185,0.8767530110542815,0.5151724137931034,0.0497947862591128,0.4848275862068965,0.9502052137408872,0.9502052137408872,0.0560332076029879,0.0134050735892315,9.19405537950378,9.19405537950378,7.113788487282463,0.1646695589423376,0.8873072506270151,12.28412196667226,108168
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,50047,50047,1364,48683,64,46732,0.0272543808819709,0.972745619118029,0.9551820728291316,0.5102237593669758,0.0448179271708683,0.4897762406330241,0.4897762406330241,0.5167848992699524,0.0147455159381679,1.8483165320397144,1.8483165320397144,35.691348973607035,0.198159518269345,0.8907384900194946,13.438629011035143,96843
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9679363333021952,4640,4640,743,3897,685,91518,0.1601293103448275,0.8398706896551724,0.5203081232492998,0.0408426348058481,0.4796918767507003,0.9591573651941518,0.9591573651941518,0.0479126008074925,0.0147455159381679,10.859525771515502,10.859525771515502,5.244952893674293,0.198159518269345,0.8907384900194946,13.438629011035143,96843
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,default_0_50,0.5,24929,24929,1222,23707,228,83011,0.049019214569377,0.9509807854306228,0.8427586206896551,0.2221462171330047,0.1572413793103448,0.7778537828669952,0.7778537828669952,0.2304655720730715,0.0134050735892315,3.656765794165776,3.656765794165776,19.400163666121117,0.1643766129259146,0.8885420712402846,12.262268597910571,108168
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8424248266206245,6051,6051,730,5321,720,101397,0.1206412163278796,0.8793587836721203,0.503448275862069,0.049860379692273,0.496551724137931,0.9501396203077268,0.9501396203077268,0.0559407588196139,0.0134050735892315,8.99966833638213,8.99966833638213,7.289041095890411,0.1643766129259146,0.8885420712402846,12.262268597910571,108168
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,default_0_50,0.5,19753,19753,1162,18591,266,76824,0.0588265073659697,0.9411734926340304,0.8137254901960784,0.1948435780537651,0.1862745098039215,0.8051564219462348,0.8051564219462348,0.2039693111531035,0.0147455159381679,3.989450597228716,3.989450597228716,15.999139414802066,0.1983263657676749,0.891382488644989,13.449944145685532,96843
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.8424248266206245,4904,4904,757,4147,671,91268,0.1543637846655791,0.8456362153344209,0.5301120448179272,0.0434627679086097,0.4698879551820728,0.9565372320913902,0.9565372320913902,0.050638662577574,0.0147455159381679,10.468523808381429,10.468523808381429,5.478203434610304,0.1983263657676749,0.891382488644989,13.449944145685532,96843
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,12949,12949,959,11990,491,94728,0.0740597729554405,0.9259402270445596,0.6613793103448276,0.112352180513128,0.3386206896551724,0.887647819486872,0.887647819486872,0.1197119295910065,0.0134050735892315,5.524756911064893,5.524756911064893,12.502606882168926,0.1543480393964942,0.8793229788336777,11.514150845131022,108168
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6399207700174234,6032,6032,706,5326,744,101392,0.1170424403183023,0.8829575596816976,0.4868965517241379,0.0499072321445304,0.5131034482758621,0.9500927678554696,0.9500927678554696,0.0557651061312033,0.0134050735892315,8.731204609896642,8.731204609896642,7.543909348441926,0.1543480393964942,0.8793229788336777,11.514150845131022,108168
