model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
imbalance_ensemble_gate | Self-paced Ensemble | default,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,0.6393060393297898,0.1541500130650607,0.8640104503586958,11.499378353945856,0.1841674366330106,0.8687082494266899,12.489724836029868,8.078839540481567
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.7112674965400215,0.152394971401274,0.8757845071542079,11.368454666574491,0.1690760661447761,0.8790468542916827,11.466269939536804,
hyperparameter_tuned | Logistic Regression,hyperparameter-tuning-gate,Logistic Regression,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,0.036975466485959,0.1519659735772999,0.8764678550171867,11.336452020627158,0.183884137462742,0.879595768507057,12.470512271921796,47.14454698562622
anomaly_recency_gate | Random Forest | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,0.6334813209992586,0.1508685636862065,0.8757293763583174,11.254586756420402,0.1740326613243754,0.8745885547008198,11.80241247943732,
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.6338067206946842,0.1508167574698364,0.8758644212817409,11.250722084136047,0.1735993410436421,0.8751938641620248,11.77302589964246,53.32293200492859
anomaly_recency_gate | Random Forest | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.633806720694684,0.1508167574698364,0.8758644212817409,11.250722084136047,0.1735993410436421,0.8751938641620248,11.77302589964246,
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.771672656107945,0.1492711157560413,0.8765281298892149,11.13541934420654,0.1803282823801867,0.8812979449496091,12.229364040997496,
baseline | Logistic Regression,baseline_search,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.7768670748835765,0.1491712175450459,0.8766576688416974,11.127967075456915,0.1798640383209565,0.8815050382150449,12.197880296299996,122.7742247581482
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.7768670748835765,0.1491712175450459,0.8766576688416974,11.127967075456915,0.1798640383209565,0.8815050382150449,12.197880296299996,
anomaly_recency_gate | Random Forest | recent_3_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_isolation_forest_anomaly_score,0.5945611442627325,0.1491480314696188,0.878371828816003,11.126237426210846,0.1766452186607721,0.8785513115270738,11.979588873084843,
