model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,default_0_50,0.5,3726,3726,519,3207,931,103511,0.1392914653784219,0.8607085346215781,0.35793103448275865,0.030051162877865027,0.6420689655172414,0.969948837122135,0.969948837122135,0.034446416685156425,0.013405073589231566,10.390951191071132,10.390951191071132,6.179190751445087,0.13063436160532868,0.8719918980800834,9.745143190431167,108168
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.4056764322138482,5986,5986,660,5326,790,101392,0.11025726695623121,0.8897427330437688,0.45517241379310347,0.049907232144530446,0.5448275862068965,0.9500927678554696,0.9500927678554696,0.055339841727682866,0.013405073589231566,8.225040035945943,8.225040035945943,8.06969696969697,0.13063436160532868,0.8719918980800834,9.745143190431167,108168
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,default_0_50,0.5,3075,3075,535,2540,893,92875,0.17398373983739837,0.8260162601626017,0.3746498599439776,0.026620552324058064,0.6253501400560224,0.973379447675942,0.973379447675942,0.031752424026517144,0.014745515938167962,11.799094759855162,11.799094759855162,4.747663551401869,0.15237648696874692,0.8732518464599066,10.33375078957588,96843
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.4056764322138482,4972,4972,670,4302,758,91113,0.13475462590506837,0.8652453740949316,0.469187675070028,0.045087250432321965,0.530812324929972,0.954912749567678,0.954912749567678,0.051340830003201054,0.014745515938167962,9.13868503958301,9.13868503958301,6.42089552238806,0.15237648696874692,0.8732518464599066,10.33375078957588,96843
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,20162,20162,1112,19050,338,87668,0.055153258605297094,0.9448467413947029,0.766896551724138,0.17850784310050788,0.23310344827586207,0.8214921568994921,0.8214921568994921,0.18639523703868058,0.013405073589231566,4.114357018495018,4.114357018495018,17.131294964028775,0.14917121754504595,0.8766576688416974,11.127967075456917,108168
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7768670748835765,6049,6049,716,5333,734,101385,0.11836667217721937,0.8816333278227806,0.49379310344827587,0.049972825577690734,0.5062068965517241,0.9500271744223092,0.9500271744223092,0.05592226906293913,0.013405073589231566,8.829990480045147,8.829990480045147,7.448324022346369,0.14917121754504595,0.8766576688416974,11.127967075456917,108168
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,default_0_50,0.5,14192,14192,1058,13134,370,82281,0.07454904171364149,0.9254509582863585,0.7408963585434174,0.13765131268668448,0.25910364145658266,0.8623486873133155,0.8623486873133155,0.1465464721249858,0.014745515938167962,5.055709276382481,5.055709276382481,12.41398865784499,0.17986403832095657,0.8815050382150449,12.197880296299997,96843
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7768670748835765,3926,3926,628,3298,800,92117,0.1599592460519613,0.8400407539480387,0.43977591036414565,0.03456479589163129,0.5602240896358543,0.9654352041083687,0.9654352041083687,0.04053984283840856,0.014745515938167962,10.847992482780173,10.847992482780173,5.251592356687898,0.17986403832095657,0.8815050382150449,12.197880296299997,96843
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,20092,20092,1112,18980,338,87738,0.05534541110889907,0.9446545888911009,0.766896551724138,0.17785190876890497,0.23310344827586207,0.822148091231095,0.822148091231095,0.1857480955550625,0.013405073589231566,4.128691330225789,4.128691330225789,17.068345323741006,0.14927111575604138,0.8765281298892149,11.13541934420654,108168
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.771672656107945,6045,6045,720,5325,730,101393,0.11910669975186104,0.8808933002481389,0.496551724137931,0.04989786165407897,0.503448275862069,0.950102138345921,0.950102138345921,0.055885289549589524,0.013405073589231566,8.885195516385727,8.885195516385727,7.395833333333333,0.14927111575604138,0.8765281298892149,11.13541934420654,108168
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,14149,14149,1056,13093,372,82322,0.0746342497703018,0.9253657502296982,0.7394957983193278,0.13722161085783158,0.2605042016806723,0.8627783891421684,0.8627783891421684,0.14610245448819223,0.014745515938167962,5.061487850493934,5.061487850493934,12.398674242424242,0.18032828238018675,0.8812979449496091,12.229364040997497,96843
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.771672656107945,3951,3951,630,3321,798,92094,0.15945330296127563,0.8405466970387243,0.4411764705882353,0.034805848137085364,0.5588235294117647,0.9651941518629147,0.9651941518629147,0.040797992627242034,0.014745515938167962,10.813680825405333,10.813680825405333,5.271428571428571,0.18032828238018675,0.8812979449496091,12.229364040997497,96843
