model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.0,0.0,0.0,0.04080296969711898,0.7280343681074498,2463,0,37,0
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.22864795790441259,0.06666666666666667,0.10810810810810811,0.022736500203004467,0.04080296969711898,0.7280343681074498,2407,56,33,4
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.0,0.0,0.0,0.05715407242030414,0.7686894709221888,2466,0,34,0
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.17255809952375245,0.08,0.29411764705882354,0.04663422546634226,0.05715407242030414,0.7686894709221888,2351,115,24,10
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.0,0.0,0.0,0.08298363624574172,0.7720753640363872,2463,0,37,0
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.17255809952375245,0.072,0.24324324324324326,0.04709703613479497,0.08298363624574172,0.7720753640363872,2347,116,28,9
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.0,0.0,0.0,0.07315124190939214,0.7646820285291733,2466,0,34,0
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.1561339440830339,0.08208955223880597,0.3235294117647059,0.049878345498783457,0.07315124190939214,0.7646820285291733,2343,123,23,11
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.0,0.0,0.0,0.09964508306528987,0.7449166584367559,2463,0,37,0
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.1561339440830339,0.07692307692307693,0.24324324324324326,0.0438489646772229,0.09964508306528987,0.7449166584367559,2355,108,28,9
